GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0100000US,,United States,0100000US,,United States,United States,308745538,308758105,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
0100000US,,United States,01000C0US,,United States - In metropolitan statistical area,In metropolitan statistical area,262512712,262525657,263093682,265426994,267838295,270139257,272573557,275038310,277418733,279698020
0100000US,,United States,310M300US10180,10180,"United States - Abilene, TX Metro Area","Abilene, TX Metro Area",165252,165248,165583,166633,167452,167426,168143,169478,169733,170219
0100000US,,United States,310M300US10420,10420,"United States - Akron, OH Metro Area","Akron, OH Metro Area",703200,703203,703037,703152,702066,703085,704311,703530,702556,703505
0100000US,,United States,310M300US10500,10500,"United States - Albany, GA Metro Area","Albany, GA Metro Area",157308,157500,157596,157875,157369,156025,155293,153686,152440,151434
0100000US,,United States,310M300US10540,10540,"United States - Albany, OR Metro Area","Albany, OR Metro Area",116672,116672,116878,118112,118242,118388,119025,120210,122700,125047
0100000US,,United States,310M300US10580,10580,"United States - Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",870716,870720,871159,873206,875586,878628,880140,881551,882801,886188
0100000US,,United States,310M300US10740,10740,"United States - Albuquerque, NM Metro Area","Albuquerque, NM Metro Area",887077,887061,889570,896838,900368,902083,902069,903489,906877,910726
0100000US,,United States,310M300US10780,10780,"United States - Alexandria, LA Metro Area","Alexandria, LA Metro Area",153922,153922,154107,154374,154436,154639,154633,154272,154394,153984
0100000US,,United States,310M300US10900,10900,"United States - Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821272,821963,824980,826634,826533,829625,832011,835233,840550
0100000US,,United States,310M300US11020,11020,"United States - Altoona, PA Metro Area","Altoona, PA Metro Area",127089,127076,127030,126989,126593,125977,125502,124818,123927,123457
0100000US,,United States,310M300US11100,11100,"United States - Amarillo, TX Metro Area","Amarillo, TX Metro Area",251933,251933,252674,255992,257777,258847,260662,261508,263036,264925
0100000US,,United States,310M300US11180,11180,"United States - Ames, IA Metro Area","Ames, IA Metro Area",89542,89542,89627,90797,91730,93462,95310,96348,96816,97502
0100000US,,United States,310M300US11260,11260,"United States - Anchorage, AK Metro Area","Anchorage, AK Metro Area",380821,380821,383108,388012,392201,396934,398400,399082,401499,400888
0100000US,,United States,310M300US11460,11460,"United States - Ann Arbor, MI Metro Area","Ann Arbor, MI Metro Area",344791,345066,345515,349102,351333,354714,358635,361815,364752,367627
0100000US,,United States,310M300US11500,11500,"United States - Anniston-Oxford-Jacksonville, AL Metro Area","Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118466,117785,117219,116482,115941,115505,114980,114728
